idx,title,question,answer,url
0,강아지가 자다 일어나면 뒷다리 힘을 못써요.,"저희 웰시코기가 4살인데 하루 3번산책을 하려고 노력하고 있습니다.
15kg(남,중성화O)비슷한 웰시중에서는 마른 체형

원래는 하루 8시간 개치원도 다닐만큼 체력이 만땅이였는데
최근 한달정도 사이에 자다 일어나면 눈에 띄게 뒷다리 힘을 잘 못써요.
병원을 데리고 가려고 해도 한 30초~1분정도 지나면 금방 점프도 잘하고
매일 애견카페 대형 운동장을 애용하는 편인데 달리기도 잘하고 밥도 잘먹어요.

병원을 방문하려면 자다 일어났을 때 영상을 찍어서 들고가면 될까요?
최근 일주일 사이에는 집에서는 거의 걸으려고 하지 않고 산책!소리에만 반응하고 누워있어요.
특히 자다깼을 때는 간식을 줘도 뒷다리에 힘을 거의 못쓰고 기지개를 켜거나 몇걸음 걸은 후에만 멀쩡해집니다.

1. 서있을 때 뒷다리당겨보면 슬개골 탈구 소리도 안들리고 차타면 뒷다리로 지탱하고 바깥구경도 잘하는데 혹시 슬개골탈구 증상일수도 있나요?
2. 동물병원에 갈 때는 멀쩡하게 움직일 것 같은데 엑스레이를 찍어봐야 하나요?
3. 하루 평균 최소 1시간 많으면 6시간도 산책+운동장 공놀이를 하는 편인데 혹시 웰시코기에게 무리일까요?","안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
상황만으로 판단하기에는 제한적이고 어려운 부분이 있습니다.
무릎골탈구 단계는 촉진을 비롯한 신체검사와 방사선 검사의 종합적인 분석이 필요합니다.
무릎골탈구의 경우 정도에 따라 1기~4기로 구분합니다.
일반적으로 1기와 2기는 겉으로 확인하기에는 어렵고 
3기는 수술을 추천 드립니다.
무릎골탈구는 진행함에 따라 파행증상이 심해지고 자세이상과 퇴행성 관절염을 동반합니다.
하루 30분이상 꾸준한 산책과 체중조절로 관절을 보호하고
과격한 운동과 점프와 같은 행동은 피하고 조심해야 합니다.
관절보조제 급여를 통한 관절 영양분 공급으로 최대한 진행을 차단하는 게 최선의 방법입니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=443181173
"
1,강아지 배안에 울퉁불퉁한게 만져져요,"그림그린거 처럼 만져지구요
저부위에 무슨장기가 있는지
아님 문제가 있는건지
전문가님들 답변부탁드려요

만졌을때 아파하진않아요","안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
사진으로 유추하면 결장부위로 대장속 변이 촉진된 것으로 판단됩니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=443073603
"
2,고양이가 토를 해요,"저희 고양이가 4~5개월 정도 됬는데 사료를 바꿀 때 기존사료와 섞어서 천천히 바꿔줘야된다는걸 잊고그만 기존사료가 다 떨어지고나서야 다른 사료를 구입해서 급여하게됬는데요..(기존 사료를 더이상 구할 수가 없었습니다..) 아마도 그게 문제가 된거 같아요...갑자기 밥 먹는것도 거부하고 오늘 아침엔 노란 토를 했어요..
지금 있는 사료를 조금씩 급여해도될지..아예 다른 사료로 바꿔야될지 모르겠습니다...","안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
고양이 구토의 원인은 너무나 다양합니다.
이물을 비롯해 간질환, 신장질환, 췌장염, 위장염, 체질에 맞지 않는 
사료나 간식, 과도한 스트레스, 헤어볼 등의 원인으로 발생할 수 있습니다.
구토가 지속된다면
병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=442845351
"
3,강아지 수염쪽에 이상한게 낫어요,강아지 수염쪽에 이런게 있는데 떼어지지도 않고 뭔지 모르겠어요. 병원은 가기 힘들것 같은데 가야될까요?,"안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
사진만으로 판단하기에는 제한적이고 어려운 부분이 있습니다.
진드기는 흡혈로 인한 빈혈보다도 진드기매개 질환이 더욱 위험합니다.
바베시아를 비롯한 리케치아, 바이러스, 세균을 전파하여
강아지뿐 아니라 사람의 생명까지 위협할 수 있습니다.
반드시 진드기는 직접접촉은 피하고 플라스틱 카드나 핀셋을 이용하여 제거해야 합니다.
정기적인 외부기생충 예방을 하고 산책 시 가급적 풀밭에는 가지 않도록 합니다.
병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=442858730
"
4,아까 세 시간 전쯤에 저희집 고양이(3살 남)가 실을 먹었는데 엄청 길었었어요 ㅠㅠ 고양이가 실을 먹으면 안 좋다고 어디서 들었었어서 바로 지식인에서 찾아보고 병원에도 전화해봤는데 병원에서는 토할 때까지 기다려보라고 하더라고요..근데 애가 처음엔 뛰어다니고 사료도 먹었는데 시간이 갈 수록 잠만 자고 표정도 안 좋은 것 같고 귀도 만지면 뜨겁고 이거 어떡하나요 ㅠㅠ 병원에 데려가봐야 할까요?혹시 실 때문에 죽을 수도 있나요?병원에 가면 돈이 얼마나 들까요?내공200드릴테니까 물어본 질문들 정확히 다 답변해주시면 좋겠습니다 급해요,,"안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
고양이는 호기심으로 이물질을 먹고 문제가 되는 경우가 많습니다.
선상이물(실/끈)과 같은 이물질은 장폐색을 유발하여 생명까지 위협하고
최악의 경우 수술로 이어질 수 있습니다.
앞으로 실이나 끈과 같은 이물질은 먹지 못하게 주의해야 합니다.
구토나 식욕부진을 동반한다면 
병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=442803952
"
5,@Exception_alert@,,,"https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=442760801
"
6,강아지 배에 여드름 같은게 전부터 이있다가 갑자기 붓고 커져서 혹시 고름이면 집에서 짜주고 소독해도 될지 병원을 가서 짜줘야 할지 모르겠네요…,"강아지 배에 여드름 같은게 전부터 이있다가 갑자기 붓고 커져서
혹시 고름이면 집에서 짜주고 소독해도 될지 병원을 가서 짜줘야 할지 모르겠네요…","안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
사진으로 유추하면 피부 농피증일 가능성이 높아 보입니다.
일반적인 농피증은 황색포도상구균에 의한 세균감염으로 발생하고 
병변부위가 청결하지 못하면 상황은 더욱 악화될 수 있습니다.
병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=442726750
"
7,중형견과 대형견 중간쯤의 개인데 나이는6 살. 예전과 다르게 오줌을 과도하게 싸고 물을 엄청 먹고있습니다. 오줌도 물처럼묽고 냄새도 나지않습니다,"중형견과 대형견 중간쯤의 개인데 나이는6 살. 예전과 다르게 오줌을 과도하게 싸고 물을 엄청 먹고있습니다. 오줌도 물처럼묽고 냄새도 나지않습니다.
시판 습식사료에 건식사료 섞어서 주고 있고 덴탈 스틱 하루 두개에서 세개정도 주고 있습니다.","안녕하세요. 
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
일반적으로 다음 다뇨 증상은 당뇨, 신장질환, 갑상선 및 부신피질호르몬 질환일 
가능성이 높습니다.
상황이 지속된다면 
병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=442711705
"
8,"강아지 목 피부에 이런 게 생겼는데, 뭔가요?ㅠㅠ
마지막 사진은 머리쪽인데 이런 혹이 났어요",,"안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
사진만으로 판단하기에는 제한적이고 어려운 부분이 있습니다.
사진으로 유추하면 유두종을 비롯한 피부종양일 가능성이 높고
외과적 처치 및 조직검사가 필요해 보입니다.
방치하게 되면 크기가 커지고 염증을 동반하여 상황은 더욱 악화될 수 있습니다.
병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=442665383
"
9,산책 후 강아지 몸에 벌레 (진드기?),"산책 후 다음날 아침에 살짝만 쓰다듬었는데도 엄청 깨갱거려서 저녁에 살펴보니 사진에 벌레가 박혀있더라구요.,ㅠㅠ소독약이 없어서 따로 소독은 못했는데 병원가봐야할까요..ㅠ? 뽑고나서도 깨갱거리긴하네요ㅠㅠ","안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
진드기는 흡혈로 인한 빈혈보다도 진드기매개 질환이 더욱 위험합니다.
바베시아를 비롯한 리케치아, 바이러스, 세균을 전파하여
강아지뿐 아니라 사람의 생명까지 위협할 수 있습니다.
반드시 진드기는 직접접촉은 피하고 플라스틱 카드나 핀셋을 이용하여 제거해야 합니다.
정기적인 외부기생충 예방을 하고 산책 시 가급적 풀밭에는 가지 않도록 합니다.
그리고 병원에서 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=442612620
"
