idx,title,question,answer,url
0,고양이 얼굴에 이런 게 났는데 왜 이런 건가요? 떼줄려고 해도 안 떼지고 혹처럼 붙어있어요 만져도 아파하진 않아요 ㅜㅜ,고양이 얼굴에 이런 게 났는데 왜 이런 건가요? 떼줄려고 해도 안 떼지고 혹처럼 붙어있어요 만져도 아파하진 않아요 ㅜㅜ,"안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
사진만으로 판단하기에는 제한적이고 어려운 부분이 있습니다.
진드기는 흡혈로 인한 빈혈보다도 진드기매개 질환이 더욱 위험합니다.
바베시아를 비롯한 리케치아, 바이러스, 세균을 전파하여
강아지뿐 아니라 사람의 생명까지 위협할 수 있습니다.
반드시 진드기는 직접접촉은 피하고 플라스틱 카드나 핀셋을 이용하여 제거해야 합니다.
정기적인 외부기생충 예방을 하고 산책 시 가급적 풀밭에는 가지 않도록 합니다.
병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=442760801
"
1,고양이 옆구리에 이런게 생겼는데(피부병),"고양이 옆구리에 이런게 생겼는데
이것이 무엇일까요?ㅠㅠ
그냥 둬도 되는지 혹은 짜야되는지요?
전문가 선생님 알려주세요!","안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
사진만으로 판단하기에는 제한적이고 어려운 부분이 있습니다.
사진으로 유추하면 피부종양일 가능성이 높고
세포 및 조직검사가 필요해 보입니다.
방치하게 되면 크기가 커지고 염증을 동반하여 상황은 더욱 악화될 수 있습니다.
병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=442187285
"
2,강아지 목 피부병,"이것 뭔가요?
해결방안좀","안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
사진만으로 판단하기에는 제한적이고 어려운 부분이 있습니다.
강아지 피부염은 세균성, 곰팡이성, 기생충성, 알러지 및 아토피성으로 크게 구분하고
정확한 것은 검사를 통해 파악할 수 있습니다.
일반적으로 피부염은 초기치료가 상당히 중요합니다.
방치하게 되면 진행되어 상황은 더욱 악화되고 
특히 곰팡이성 피부염은 사람에게도 전염될 수 있습니다.
병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=442018014
"
3,강아지 항문 옆에 조그만한 뾰루지가 났습니다 ㅠㅠ 만져봤을때 조금 단단합니다. 혹시 종양일까요 ㅠㅠ 병원가서 검사 받아야 할까요 ㅠㅠ,"강아지 항문 옆에 조그만한 뾰루지가 났습니다 ㅠㅠ

만져봤을때 조금 단단합니다.

혹시 종양일까요 ㅠㅠ

병원가서 검사 받아야 할까요 ㅠㅠ","안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
사진만으로 판단하기에는 제한적이고 어려운 부분이 있습니다.
사진으로 유추하면 항문선종일 가능성이 높고
외과적 처치가 필요해 보입니다.
일반적으로 종양은 초기 처치가 상당히 중요하고
방치하게 되면 진행되어 상황은 더욱 악화됩니다.
병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=441687343
"
4,강아지 팔에 뭐가 났어요 약 일주일 전 강아지 팔에서 상처를 발견했습니다 미용할 때 난 상처라고 생각했어요 간지러운지 계속 핥더라구요 근데 오늘,"강아지 팔에 뭐가 났어요
약 일주일 전 강아지 팔에서 상처를 발견했습니다 미용할 때 난 상처라고 생각했어요
간지러운지 계속 핥더라구요
근데 오늘 보니 상처가 부어있네요 ㅠㅠ
종기 같기도 하고 왜 저런지 걱정됩니다 ㅠㅠ","안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
사진만으로 판단하기에는 제한적이고 어려운 부분이 있습니다.
사진으로 유추하면 피부종양일 가능성이 높고
외과적 처치 및 조직검사가 필요해 보입니다.
방치하게 되면 크기가 커지고 염증을 동반하여 상황은 더욱 악화될 수 있습니다.
병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=441290051
"
5,"강아지 백내장일까요?ㅠㅠ
이제 10살 된 푸들입니다ㅠㅜ
어느날부터 눈동자가 연해지는걸 느껴서 노화가 오나보다 했는데
최근에 갑자기 왼쪽 눈에 하얀색이 보여서요ㅠㅠ
병원에 가보긴 할건데 제 사정상 3월 말에나 데려갈 수 있을 것 같거든요ㅠㅠ
백내장일까봐 너무 걱정입니다ㅠㅠㅠ",,"안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
사진만으로 판단하기에는 제한적이고 어려운 부분이 있습니다.
수정체가 뿌옇게 혼탁해지는 질환에는 백내장과 핵경화증이 있습니다.
상황에 따라 수술 및 염증관리를 해야 하는 백내장과 달리 
시력소실이나 염증을 유발하지 않는 핵경화증은 치료가 별도로 필요하지 않습니다.
사진으로 유추하면 백내장일 가능성이 높아 보입니다.
병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=441131210
"
6,골든햄스터 항문주위에 이게 뭘까요? 냄새는 오줌은 아니예요.,"최근에 세균감염으로 인한 지속적인 설사 때문에 항문 주위가 헐어서 동물병원가서 바르는약처방 받고 소독약 및 먹는약 처방받아서 복용시키고 연고 도포해주고 있습니다.
항문 주위 헐은 부위는 많이 호전 양상인데, 갑자기 사진과 같은 양상의 액체를 분비?배뇨 하더라구요.
원래 소변은 잘 가리던 햄스터입니다. 근데 액체가 냄새도 안나고 도대체 뭔지를 잘 모르겠습니다.
어제 그래서 세면대에서 씻기고 소독물로 세척하고 연고 도포했는데, 오늘 아침에도 이랬다고 하더라구요.
주말이라 병원에 못가서 지식인에 질문해봅니다.
액체특징 : 투명한 연노랑색, 냄새 안남
최근들어 털이 많이 푸석해졌습니다.","안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
일반적으로 햄스터에서 항문주위가 젖어 있는 경우 웻테일과 같은 장염으로 인한 
상황일 가능성이 높습니다.
웻테일의 원인은 스트레스, 먹이 변화, 세균감염 등이 있습니다.
병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=440885413
"
7,고양이 성별 알기,이 들고양이는 5-6 개월 정도 되었는데 성별을 알아야 수술을 할수있다고 하네요 . 사진이 좀 흐린데 알수있나요?,"안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
사진으로 판단하기에는 수컷으로 보입니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=440803037
"
8,고양이 등에 털이 빠지더니 각질 같은게 올라오는데 무슨 피부병일까요? 병원이 멀리있어 차 태우고가면 스트레스 많이 받아서 못대려가고 있는데ㅠㅠ,고양이 등에 털이 빠지더니 각질 같은게 올라오는데 무슨 피부병일까요? 병원이 멀리있어 차 태우고가면 스트레스 많이 받아서 못대려가고 있는데ㅠㅠ 다른고양이들에게 옮을까봐 걱정이네요 무슨병일까요 ㅠㅠ,"안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
고양이 피부염은 세균성, 곰팡이성, 기생충성, 알러지 및 아토피성으로 크게 구분하고
정확한 것은 검사를 통해 파악할 수 있습니다.
일반적으로 피부염은 초기치료가 상당히 중요합니다.
방치하게 되면 진행되어 상황은 더욱 악화되고 
특히 곰팡이성 피부염은 사람에게도 전염될 수 있습니다.
병원에서 정확한 진단과 적절한 처치 받아보시길 권해드립니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=440719100
"
9,저 좀 살려주세요,이제 저희개가 6개월되가는데 목거리를 물어뜯다가 이빨이 4개나 빠졌는데 병원에 가야할까요?,"안녕하세요.
지식iN 동물의료상담 수의사 새은평동물의료센터장 버드나무 이상철입니다.
상황만으로 판단하기에는 제한적이고 어려운 부분이 있습니다.
다만 연령을 고려하면 다행히 유치탈락으로 보입니다.
정상적인 소견이니 너무 걱정하지 않으셔도 될 것 같습니다.
앞으로 목걸이와 같은 딱딱한 물건은 물어 뜯지 않게 주의해야 합니다.","https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80511&docId=440642265
"
